Name,URL
"1,001 Tiaras",https://kindredcocktails.com/cocktail/1001-tiaras
2 Cents,https://kindredcocktails.com/cocktail/2-cents
2 Cups of Blood,https://kindredcocktails.com/cocktail/2-cups-blood
2 to 2,https://kindredcocktails.com/cocktail/2-2
2amMIDWATCH,https://kindredcocktails.com/cocktail/2ammidwatch
3-2-1,https://kindredcocktails.com/cocktail/3-2-1
(the) 3:10,https://kindredcocktails.com/cocktail/310
3:20 in the Morning,https://kindredcocktails.com/cocktail/320-morning
3 B's,https://kindredcocktails.com/cocktail/3-bs
3 Day Weekend,https://kindredcocktails.com/cocktail/3-day-weekend
3 o'clock,https://kindredcocktails.com/cocktail/3-oclock
3 Pilares,https://kindredcocktails.com/cocktail/3-pilares
3G,https://kindredcocktails.com/cocktail/3g
4-3-1,https://kindredcocktails.com/cocktail/4-3-1
4th and Clyde,https://kindredcocktails.com/cocktail/4th-and-clyde
4x1,https://kindredcocktails.com/cocktail/4x1
5 O'Clock Tea,https://kindredcocktails.com/cocktail/5-oclock-tea
5 Spot,https://kindredcocktails.com/cocktail/5-spot
5 Wise Men,https://kindredcocktails.com/cocktail/5-wise-men
5th Amendment,https://kindredcocktails.com/cocktail/5th-amendment
7 Days to Go,https://kindredcocktails.com/cocktail/7-days-go
8 Amaro Sazerac,https://kindredcocktails.com/cocktail/8-amaro-sazerac
8th Arrondissement,https://kindredcocktails.com/cocktail/8th-arrondissement
8th and Collins,https://kindredcocktails.com/cocktail/8th-and-collins
9th Floor B/504,https://kindredcocktails.com/cocktail/9th-floor-b504
10 Penny Mule,https://kindredcocktails.com/cocktail/10-penny-mule
15 Second Punch,https://kindredcocktails.com/cocktail/15-second-punch
17th Century Cocktail,https://kindredcocktails.com/cocktail/17th-century-cocktail
The 18th Alchemist,https://kindredcocktails.com/cocktail/18th-alchemist
18th Century,https://kindredcocktails.com/cocktail/18th-century
19th Century,https://kindredcocktails.com/cocktail/19th-century
19th Century (Pegu Club),https://kindredcocktails.com/cocktail/19th-century-pegu-club
21st Century,https://kindredcocktails.com/cocktail/21st-century
23 Skiddoo,https://kindredcocktails.com/cocktail/23-skiddoo
25th Hour,https://kindredcocktails.com/cocktail/25th-hour
32 Down,https://kindredcocktails.com/cocktail/32-down
32nd Street,https://kindredcocktails.com/cocktail/32nd-street
.38 Special,https://kindredcocktails.com/cocktail/38-special
The 40th Lady,https://kindredcocktails.com/cocktail/40th-lady
#42,https://kindredcocktails.com/cocktail/42
46th & 5th,https://kindredcocktails.com/cocktail/46th-5th
#47,https://kindredcocktails.com/cocktail/47
53 Souvenirs,https://kindredcocktails.com/cocktail/53-souvenirs
65th Street,https://kindredcocktails.com/cocktail/65th-street
69 Holland,https://kindredcocktails.com/cocktail/69-holland
#69(sixty nine),https://kindredcocktails.com/cocktail/69sixty-nine
'81,https://kindredcocktails.com/cocktail/81
86 Long Island Iced Tea,https://kindredcocktails.com/cocktail/86-long-island-iced-tea
92 Siestas,https://kindredcocktails.com/cocktail/92-siestas
100-Year-Old Cigar,https://kindredcocktails.com/cocktail/100-year-old-cigar
100 Year War,https://kindredcocktails.com/cocktail/100-year-war
The 114,https://kindredcocktails.com/cocktail/114
131,https://kindredcocktails.com/cocktail/131
151 Swizzle,https://kindredcocktails.com/cocktail/151-swizzle
209 East,https://kindredcocktails.com/cocktail/209-east
212,https://kindredcocktails.com/cocktail/212
221b,https://kindredcocktails.com/cocktail/221b
.312 Cocktail,https://kindredcocktails.com/cocktail/312-cocktail
(500) Days of Autumn,https://kindredcocktails.com/cocktail/500-days-autumn
606,https://kindredcocktails.com/cocktail/606
The 866,https://kindredcocktails.com/cocktail/866
1022 Martini,https://kindredcocktails.com/cocktail/1022-martini
1492,https://kindredcocktails.com/cocktail/1492
1682,https://kindredcocktails.com/cocktail/1682
1790,https://kindredcocktails.com/cocktail/1790
1794,https://kindredcocktails.com/cocktail/1794
1795,https://kindredcocktails.com/cocktail/1795
1815 Sutherland Highlanders,https://kindredcocktails.com/cocktail/1815-sutherland-highlanders
1818,https://kindredcocktails.com/cocktail/1818
1818 Cocktail,https://kindredcocktails.com/cocktail/1818-cocktail
1872,https://kindredcocktails.com/cocktail/1872
1903,https://kindredcocktails.com/cocktail/1903
1919,https://kindredcocktails.com/cocktail/1919
The 2020,https://kindredcocktails.com/cocktail/2020
2020 is coming,https://kindredcocktails.com/cocktail/2020-coming
2020 Visions,https://kindredcocktails.com/cocktail/2020-visions
5000 Rupees,https://kindredcocktails.com/cocktail/5000-rupees
À la Diable,https://kindredcocktails.com/cocktail/la-diable
Aaron A Aaronson,https://kindredcocktails.com/cocktail/aaron-aaronson
Aaron Awesome,https://kindredcocktails.com/cocktail/aaron-awesome
Aaron's Slow Drip,https://kindredcocktails.com/cocktail/aarons-slow-drip
Ab-Duck-Shun,https://kindredcocktails.com/cocktail/ab-duck-shun
Abbey Cocktail,https://kindredcocktails.com/cocktail/abbey-cocktail
ABCDEF,https://kindredcocktails.com/cocktail/abcdef
Aberdeen,https://kindredcocktails.com/cocktail/aberdeen
About Face,https://kindredcocktails.com/cocktail/about-face
About That Time,https://kindredcocktails.com/cocktail/about-time
Absalom's Retreat,https://kindredcocktails.com/cocktail/absaloms-retreat
Absinthe Cocktail (Frappe),https://kindredcocktails.com/cocktail/absinthe-cocktail-frappe
Absinthe Colada,https://kindredcocktails.com/cocktail/absinthe-colada
Absinthe Frappe,https://kindredcocktails.com/cocktail/absinthe-frappe
Absinthe Frappe (Jamie Boudreau),https://kindredcocktails.com/cocktail/absinthe-frappe-jamie-boudreau
Absinthe Makes the Heart Grow Fonder,https://kindredcocktails.com/cocktail/absinthe-makes-the-heart-grow-fonder
Absinthe Suissesse,https://kindredcocktails.com/cocktail/absinthe-suissesse
Absinthe Suissesse (Stanley Clisby Arthur),https://kindredcocktails.com/cocktail/absinthe-suissesse-stanley-clisby-arthur
Absolution,https://kindredcocktails.com/cocktail/absolution
Abstract Truth,https://kindredcocktails.com/cocktail/abstract-truth
Academy Blues,https://kindredcocktails.com/cocktail/academy-blues
The Accidental Creole,https://kindredcocktails.com/cocktail/accidental-creole
The Accidental Hipster,https://kindredcocktails.com/cocktail/accidental-hipster
Accoutrement,https://kindredcocktails.com/cocktail/accoutrement
Ace of Clubs,https://kindredcocktails.com/cocktail/ace-clubs
ACH,https://kindredcocktails.com/cocktail/ach
Acrazes,https://kindredcocktails.com/cocktail/acrazes
Across 110th Street,https://kindredcocktails.com/cocktail/across-110th-street
Across the Board,https://kindredcocktails.com/cocktail/across-board
Across the Border,https://kindredcocktails.com/cocktail/across-border
Across The River,https://kindredcocktails.com/cocktail/across-river
Act of Faith,https://kindredcocktails.com/cocktail/act-faith
Action Bronson,https://kindredcocktails.com/cocktail/action-bronson
Ada Lovecraft,https://kindredcocktails.com/cocktail/ada-lovecraft
Adair Hook,https://kindredcocktails.com/cocktail/adair-hook
Adam and Eve,https://kindredcocktails.com/cocktail/adam-and-eve
