Name,Quantity,Unit,Cocktail
Pisco,1 1/2,oz,"1,001 Tiaras"
Parfait Amour,1/2,oz,"1,001 Tiaras"
Lemon Juice,3/4,oz,"1,001 Tiaras"
Ginger Syrup,1/2,oz,"1,001 Tiaras"
Bitters,2,ds,"1,001 Tiaras"
Raspberry,2,un,"1,001 Tiaras"
Mezcal,1,oz,2 Cents
Sweet Vermouth,1/2,oz,2 Cents
Applejack,1/2,oz,2 Cents
White Creme De Cacao,1/4,oz,2 Cents
Fernet Branca,1,bsp,2 Cents
Bitters,1,ds,2 Cents
Mezcal,3/4,oz,2 Cups of Blood
Suze,3/4,oz,2 Cups of Blood
Sweet Vermouth,3/4,oz,2 Cups of Blood
Bitters,3/4,oz,2 Cups of Blood
Agave Syrup,1,bsp,2 Cups of Blood
Grapefruit Peel,1,twst,2 Cups of Blood
Aperol,1 1/2,oz,2 to 2
Absinthe,1,oz,2 to 2
Lemon Juice,1,oz,2 to 2
Simple Syrup,1/4,oz,2 to 2
Orange Bitters,1,ds,2 to 2
Orange Peel,1,twst,2 to 2
Cognac,1 1/2,oz,2amMIDWATCH
Grapefruit Liqueur,1,oz,2amMIDWATCH
Creme De Violette,3/4,oz,2amMIDWATCH
Campari,1/2,oz,2amMIDWATCH
Cranberry Bitters,3,ds,2amMIDWATCH
Rye,1 1/2,oz,3-2-1
Herbal Liqueur,1,oz,3-2-1
Dry Vermouth,1/2,oz,3-2-1
Gin,1 1/2,oz,(the) 3:10
Walnut Liqueur,3/4,oz,(the) 3:10
Pomegranate Juice,1 1/2,oz,(the) 3:10
Sherry Vinegar,1/8,oz,(the) 3:10
Scotch,3/4,oz,3:20 in the Morning
Apple Brandy,3/4,oz,3:20 in the Morning
Drambuie,3/4,oz,3:20 in the Morning
Cynar,3/4,oz,3:20 in the Morning
Lemon Juice,3/4,oz,3:20 in the Morning
Honey Syrup,1/4,oz,3:20 in the Morning
Lemon Peel,1,twst,3:20 in the Morning
Gold Rum,2,oz,3 B's
Overproof Bourbon,1/3,oz,3 B's
Amaro Montenegro,1/4,oz,3 B's
Campari,1/4,oz,3 B's
Pacharan,1/4,oz,3 B's
Bergamot Liqueur,1,oz,3 Day Weekend
Light Rum,1,oz,3 Day Weekend
Lime Juice,1/2,oz,3 Day Weekend
Grapefruit Juice,3/4,oz,3 Day Weekend
Orgeat,1,t,3 Day Weekend
Aquafaba,1/2,oz,3 Day Weekend
Tequila,2,oz,3 o'clock
Lime Juice,1,oz,3 o'clock
Egg White,1,oz,3 o'clock
Framboise,1/2,oz,3 o'clock
Agave Syrup,1/2,oz,3 o'clock
Bitters,6,dr,3 o'clock
Speyside Scotch,1 2/3,oz,3 Pilares
Bianco Vermouth,1,oz,3 Pilares
Orange Bitters,2,ds,3 Pilares
Cherry,1,un,3 Pilares
Gin,1 1/2,oz,3G
Elderflower Liqueur,1,oz,3G
Ginger Liqueur,1/2,oz,3G
